HR,respr,Time_sec,random_forest,logistic_regression,ensemble
115.25,19.92,1743751328,0,1,0
63.24,12.21,1743751331,0,0,0
122.31,10.32,1743751334,1,1,1
115.52,12.12,1743751339,0,1,0
131.93,12.44,1743751344,1,1,1
72.38,19.22,1743751347,0,0,0
120.04,7.48,1743751350,1,1,1
103.81,17.07,1743751354,0,0,0
110.39,9.51,1743751357,0,0,0
123.69,8.76,1743751360,1,1,1
120.19,10.74,1743751364,0,1,0
133.11,19.72,1743751367,0,1,0
69.26,8.4,1743751370,1,0,1
80.78,6.29,1743751374,0,0,0
125.21,17.67,1743751377,0,1,0
110.25,7.92,1743751380,1,0,1
83.05,16.03,1743751383,0,0,0
128.21,15.99,1743751387,0,1,0
96.8,16.32,1743751390,0,0,0
100.67,8.96,1743751393,1,0,0
76.81,7.54,1743751397,0,0,0
86.66,17.16,1743751400,0,0,0
100.43,19.94,1743751404,0,0,0
139.77,7.31,1743751430,1,1,1
78.66,11.34,1743751434,0,0,0
93.73,15.29,1743751440,1,0,1
124.73,13.83,1743751443,0,1,0
66.88,12.24,1743751449,0,0,0
73.37,12.36,1743751452,0,0,0
88.82,7.91,1743751456,0,0,0
83.1,13.48,1743751459,1,0,1
126.8,8.0,1743751462,1,1,1
68.09,12.5,1743751466,0,0,0
76.08,17.18,1743751469,0,0,0
103.97,19.28,1743751472,0,0,0
65.7,11.47,1743751475,0,0,0
90.56,20.0,1743751479,0,0,0
114.97,16.8,1743751482,0,1,0
77.04,14.88,1743751485,1,0,1
118.68,15.54,1743751489,0,1,0
92.93,8.54,1743751492,1,0,1
65.72,12.69,1743751495,0,0,0
131.98,6.18,1743751498,0,1,0
132.96,11.95,1743751502,0,1,1
79.39,7.19,1743751505,0,0,0
66.67,16.67,1743751508,0,0,0
74.74,17.95,1743751511,0,0,0
119.59,7.65,1743751515,1,1,1
79.81,10.1,1743751518,1,0,1
113.72,16.01,1743751521,0,1,0
84.48,13.72,1743751525,1,0,1
78.6,19.45,1743751528,0,0,0
126.58,17.05,1743751531,0,1,0
128.0,6.63,1743751537,0,1,0
115.51,6.07,1743751541,0,1,0
79.24,17.44,1743751544,0,0,0
113.98,17.0,1743751547,0,1,0
129.53,9.04,1743751551,1,1,1
67.08,13.75,1743751554,0,0,0
122.78,16.12,1743751557,0,1,0
69.5,18.82,1743751561,0,0,0
115.4,15.24,1743751564,0,1,0
113.67,19.71,1743751567,0,0,0
125.22,11.34,1743751571,0,1,0
134.35,14.7,1743751574,1,1,1
130.96,13.61,1743751577,0,1,0
121.07,15.83,1743751581,0,1,0
119.06,6.43,1743751584,0,1,0
62.68,6.45,1743751587,1,0,1
74.59,19.11,1743751591,0,0,0
125.34,9.76,1743751594,1,1,1
99.92,12.59,1743751597,0,0,0
118.61,9.48,1743751601,1,1,1
76.42,12.42,1743751604,1,0,0
128.46,17.05,1743751607,0,1,0
65.14,11.09,1743751611,0,0,0
125.53,6.69,1743751614,0,1,0
88.05,18.7,1743751617,0,0,0
81.71,18.1,1743751620,0,0,0
77.56,16.21,1743751624,0,0,0
138.62,16.5,1743751627,0,1,0
130.6,10.72,1743751631,0,1,0
92.01,9.98,1743751634,0,0,0
85.95,16.68,1743751637,0,0,0
67.84,13.01,1743751640,0,0,0
90.26,19.18,1743751644,0,0,0
110.08,13.12,1743751647,1,0,1
109.29,10.92,1743751650,0,0,0
123.4,13.46,1743751654,0,1,0
63.88,14.21,1743751657,0,0,0
132.88,9.14,1743759842,1,1,1
79.62,7.51,1743759849,1,0,1
117.05,15.48,1743759853,0,1,0
139.37,13.63,1743759856,0,1,0
81.55,17.37,1743759860,0,0,0
104.05,13.35,1743759864,1,0,1
128.68,12.08,1743759867,0,1,0
62.41,16.92,1743759871,0,0,0
94.07,12.44,1743759875,0,0,0
139.01,7.87,1743759878,1,1,1
132.63,18.48,1743759882,0,1,0
128.84,7.13,1743759886,1,1,1
123.88,14.24,1743759889,1,1,1
110.67,18.46,1743759893,0,0,0
76.43,6.63,1743759897,0,0,0
104.16,11.63,1743759900,0,0,0
72.99,15.03,1743759904,0,0,0
102.97,10.0,1743759908,0,0,0
112.11,17.3,1743759911,0,0,0
67.8,14.12,1743759915,0,0,0
75.42,6.84,1743759919,0,0,0
72.37,19.39,1743759923,0,0,0
62.75,13.6,1743759926,0,0,0
106.33,16.76,1743759930,0,0,0
61.5,16.8,1743759933,0,0,0
77.73,10.8,1743759937,0,0,0
113.87,15.96,1743759941,0,1,0
84.04,11.12,1743759944,1,0,0
137.27,13.82,1743759948,0,1,0
63.4,19.55,1743759952,0,0,0
84.23,11.08,1743759956,0,0,0
102.69,16.99,1743759959,0,0,0
68.45,18.16,1743759963,0,0,0
121.26,19.85,1743759967,0,1,0
99.68,10.86,1743759970,0,0,0
99.87,17.96,1743759974,0,0,0
77.99,19.28,1743759978,0,0,0
76.54,17.2,1743759981,0,0,0
116.7,14.86,1743759985,0,1,0
60.88,18.63,1743759989,0,0,0
125.18,9.26,1743759992,1,1,1
122.82,17.17,1743759996,0,1,0
82.17,13.74,1743760000,0,0,0
117.04,11.97,1743760003,1,1,1
69.02,8.03,1743760007,0,0,0
82.33,13.02,1743760011,0,0,0
89.54,18.26,1743760014,0,0,0
124.54,11.72,1743760018,1,1,1
98.14,17.28,1743760022,0,0,0
109.48,6.34,1743760025,0,0,0
116.96,8.55,1743760029,1,1,1
80.58,8.72,1743760032,0,0,0
135.61,9.53,1743760036,1,1,1
138.61,10.42,1743760040,1,1,1
123.73,13.12,1743760043,1,1,1
88.43,13.49,1743760047,0,0,0
66.33,12.02,1743760051,0,0,0
70.49,14.39,1743763980,0,0,0
66.68,16.81,1743763984,0,0,0
134.5,15.37,1743763987,0,1,0
111.84,15.15,1744184209,0,0,0
87.59,11.54,1744184216,0,0,0
94.94,6.89,1744184219,0,0,0
70.87,6.24,1744184223,1,0,0
119.35,11.24,1744184226,0,1,0
66.06,19.49,1744184229,0,0,0
116.15,13.79,1744184233,0,1,0
100.57,15.8,1744184236,0,0,0
92.28,19.73,1744184239,0,0,0
69.81,8.04,1744184242,0,0,0
121.61,16.1,1744184246,0,1,0
122.73,14.15,1744184249,1,1,1
138.35,11.46,1744184252,0,1,0
96.75,14.36,1744184256,1,0,0
89.87,10.69,1744184259,1,0,0
76.9,10.07,1744184262,0,0,0
138.66,15.2,1744184265,0,1,0
86.44,13.01,1744184269,0,0,0
139.06,12.12,1744184272,0,1,0
129.71,7.74,1744184275,1,1,1
99.55,8.61,1744184278,1,0,1
124.89,10.87,1744184282,0,1,0
69.68,6.88,1744184285,1,0,1
111.86,14.17,1744184288,1,0,1
89.93,19.32,1744184292,0,0,0
78.96,14.33,1744184295,0,0,0
112.0,8.54,1744184298,1,0,1
130.65,14.88,1744184302,0,1,0
89.26,8.75,1744184305,0,0,0
61.42,18.68,1744184309,0,0,0
84.79,9.41,1744184312,0,0,0
80.86,17.55,1744184315,0,0,0
81.76,13.2,1744184318,1,0,1
70.96,19.0,1744184322,0,0,0
111.33,18.05,1744184325,0,0,0
139.8,7.88,1744184328,1,1,1
81.69,7.24,1744184332,0,0,0
129.47,10.09,1744184335,0,1,1
60.92,10.45,1744184338,0,0,0
82.63,15.06,1744184341,0,0,0
118.06,16.38,1744184345,0,1,0
73.41,11.55,1744184348,0,0,0
82.35,18.1,1744184351,0,0,0
121.4,16.75,1744184355,0,1,0
133.42,18.27,1744184358,0,1,0
69.47,16.51,1744184361,0,0,0
134.86,17.22,1744184364,0,1,0
134.97,10.43,1744184368,1,1,1
62.13,10.73,1744184371,0,0,0
86.83,11.44,1744184374,0,0,0
68.37,18.0,1744184378,0,0,0
113.75,6.87,1744184381,0,1,0
61.62,10.42,1744184384,0,0,0
92.18,16.11,1744184387,0,0,0
90.74,17.79,1744184391,0,0,0
60.75,12.27,1744184394,0,0,0
90.13,15.48,1744184397,0,0,0
116.98,15.36,1744184401,0,1,0
73.37,18.9,1744610881,0,0,0
136.08,17.03,1744610882,0,1,0
121.59,12.35,1744610886,0,1,0
127.14,15.26,1744610890,0,1,0
64.37,16.72,1744610893,0,0,0
110.69,16.76,1744610897,0,0,0
101.78,11.29,1744610901,1,0,1
69.08,10.54,1744610904,1,0,0
76.54,16.11,1744610908,0,0,0
121.81,10.85,1744610912,0,1,0
108.22,19.21,1744610915,0,0,0
110.93,14.22,1744610919,1,0,1
113.38,16.06,1744610923,0,1,0
104.54,12.66,1744610926,1,0,1
83.49,18.96,1744610930,0,0,0
94.86,17.67,1744610934,0,0,0
105.62,10.11,1744610937,0,0,0
136.72,16.35,1744610941,0,1,0
133.13,8.37,1744610944,1,1,1
74.04,16.11,1744610948,1,0,0
138.29,9.86,1744610952,1,1,1
